,Nome,Autor,Editora,Ano,preço
77,Páginas Amarelas,Moura Jr João,Claro Enigma,1988,"R$ 21,77"
78,Páginas Amarelas,João Moura Jr.,Claro Enigma,1988,"R$ 11,90"
79,Poemas,Alberto Alexandre Martins,Claro Enigma,1990,"R$ 8,00"
80,O Maior de Todos os Mistérios,Giselda Laporta Nicolelis; Miguel Nicolelis,Claro Enigma,2013,"R$ 332,82"
81,Memórias Póstumas de Francisco Badaró,Murilo Badaró,Claro Enigma,2008,"R$ 24,34"
82,As Aventuras da Tibicuera,Erico Verissimo,Claro Enigma,2014,"R$ 20,00"
83,A Pré-história Passo a Passo,Collete Swinnen,Claro Enigma,2010,"R$ 25,00"
84,Crescente 1977-1990,Duda Machado,Claro Enigma,1990,"R$ 165,00"
85,Crescente 1977-1990,Duda Machado Com Dedicatoria,Claro Enigma,1990,"R$ 278,00"
86,Minima Lirica (1982-1989),Paulo Henriques Britto,Claro Enigma,1989,"R$ 58,00"
87,Pipistrelo das Mil Cores,Zelia Gattai,Claro Enigma,2013,"R$ 10,00"
